Time,Reward,Control,Power,Up_con,Down_con,Stad_con,Turbin,EO
0,1,1,0.021388264,0.102117356,0.097882644,0.0216,0,0
1,1,0,0.021479063,0.103209373,0.096790627,0.0218,0,0
2,1,0,0.021567021,0.104329794,0.095670206,0.022,0,0
3,1,0,0.021652678,0.10547322,0.09452678,0.0222,0,0
4,1,0,0.021735877,0.106641232,0.093358768,0.0224,0,0
5,1,0,0.021817427,0.107825729,0.092174271,0.0226,0,0
6,1,0,0.021896552,0.109034477,0.090965523,0.0228,0,0
7,1,0,0.021973668,0.110263323,0.089736677,0.023,0,0
8,1,0,0.0220489,0.111511001,0.088488999,0.0232,0,0
9,1,0,0.022121869,0.11278131,0.08721869,0.0234,0,0
10,1,0,0.022193503,0.114064974,0.085935026,0.0236,0,0
11,1,0,0.022263302,0.115366985,0.084633015,0.0238,0,0
12,1,0,0.022331871,0.116681289,0.083318711,0.024,0,0
13,1,0,0.022399414,0.118005857,0.081994143,0.0242,0,0
14,1,0,0.022465458,0.119345419,0.080654581,0.0244,0,0
15,1,0,0.022530891,0.12069109,0.07930891,0.0246,0,0
16,1,1,0.022595041,0.122049595,0.077950405,0.0248,0,0
17,1,1,0.022721488,0.12278512,0.07721488,0.025,0,0
18,1,1,0.022846196,0.123538042,0.076461958,0.0252,0,0
19,1,1,0.02299566,0.124043399,0.075956601,0.0254,0,0
20,1,1,0.023162356,0.124376444,0.075623556,0.0256,0,0
21,1,1,0.023320965,0.124790345,0.075209655,0.0258,0,0
22,1,1,0.023523744,0.124762558,0.075237442,0.026,0,0
23,1,1,0.023701355,0.124986451,0.075013549,0.0262,0,0
24,1,1,0.023925923,0.124740772,0.075259228,0.0264,0,0
25,1,1,0.024136366,0.124636337,0.075363663,0.0266,0,0
26,1,1,0.024366563,0.124334368,0.075665632,0.0268,0,0
27,1,1,0.024611363,0.123886368,0.076113632,0.027,0,0
28,1,1,0.024843631,0.123563687,0.076436313,0.0272,0,0
29,1,1,0.025114017,0.122859834,0.077140166,0.0274,0,0
30,1,1,0.025358807,0.122411927,0.077588073,0.0276,0,0
31,1,0,0.02564243,0.121575696,0.078424304,0.0278,0,0
32,1,0,0.02590891,0.120910903,0.079089097,0.028,0,0
33,1,0,0.02615249,0.120475103,0.079524897,0.0282,0,0
34,1,0,0.026380105,0.120198951,0.079801049,0.0284,0,0
35,1,0,0.026598189,0.12001811,0.07998189,0.0286,0,0
36,1,0,0.02680932,0.119906801,0.080093199,0.0288,0,0
37,1,0,0.02701606,0.119839396,0.080160604,0.029,0,0
38,1,0,0.027219592,0.119804083,0.080195917,0.0292,0,0
39,1,0,0.027419899,0.119801013,0.080198987,0.0294,0,0
40,1,0,0.027618237,0.119817632,0.080182368,0.0296,0,0
41,1,0,0.027813831,0.119861687,0.080138313,0.0298,0,0
42,1,0,0.028007383,0.119926175,0.080073825,0.03,0,0
43,1,0,0.028198957,0.120010426,0.079989574,0.0302,0,0
44,1,0,0.028387884,0.120121163,0.079878837,0.0304,0,0
45,1,0,0.028575171,0.120248292,0.079751708,0.0306,0,0
46,1,0,0.028759891,0.120401088,0.079598912,0.0308,0,0
47,1,0,0.028942583,0.120574169,0.079425831,0.031,0,0
48,1,0,0.029123286,0.120767142,0.079232858,0.0312,0,0
49,1,0,0.029301308,0.120986919,0.079013081,0.0314,0,0
50,1,0,0.02947766,0.121223404,0.078776596,0.0316,0,0
51,1,1,0.02965129,0.121487102,0.078512898,0.0318,0,0
52,1,1,0.029826395,0.121736048,0.078263952,0.032,0,0
53,1,1,0.030057397,0.121426033,0.078573967,0.0322,0,0
54,1,1,0.030298717,0.121012827,0.078987173,0.0324,0,0
55,1,1,0.030552253,0.120477469,0.079522531,0.0326,0,0
56,1,1,0.030839479,0.119605214,0.080394786,0.0328,0,0
57,1,1,0.031098913,0.119010866,0.080989134,0.033,0,0
58,1,1,0.031426221,0.117737789,0.082262211,0.0332,0,0
59,1,1,0.031719759,0.116802409,0.083197591,0.0334,0,0
60,1,1,0.032051399,0.115486006,0.084513994,0.0336,0,0
61,1,0,0.032379724,0.114202759,0.085797241,0.0338,0,0
62,1,0,0.032677796,0.113222043,0.086777957,0.034,0,0
63,1,0,0.032953821,0.112461789,0.087538211,0.0342,0,0
64,1,0,0.033214457,0.111855427,0.088144573,0.0344,0,0
65,1,0,0.033465743,0.111342569,0.088657431,0.0346,0,0
66,1,1,0.033709515,0.110904851,0.089095149,0.0348,0,0
67,1,1,0.034032039,0.109679607,0.090320393,0.035,0,0
68,1,1,0.034348086,0.108519145,0.091480855,0.0352,0,0
69,1,1,0.034694254,0.107057456,0.092942544,0.0354,0,0
70,1,1,0.035060607,0.105393931,0.094606069,0.0356,0,0
71,1,0,0.035340108,0.104265587,0.095734413,0.035766667,0,0
72,1,0,0.035757497,0.102091697,0.097908303,0.035966667,0,0
73,1,0,0.036132075,0.100345918,0.099654082,0.036166667,0,0
74,1,0,0.036474396,0.098922711,0.101077289,0.036366667,0,0
75,1,0,0.03679559,0.097710766,0.102289234,0.036566667,0,0
76,1,0,0.037101164,0.096655022,0.103344978,0.036766667,0,0
77,1,0,0.037397191,0.095694757,0.104305243,0.036966667,0,0
78,1,0,0.037685473,0.094811941,0.105188059,0.037166667,0,0
79,1,0,0.037967395,0.093992716,0.106007284,0.037366667,0,0
80,1,0,0.038244672,0.093219945,0.106780055,0.037566667,0,0
81,1,1,0.03851581,0.092508567,0.107491433,0.037766667,0,0
82,1,1,0.038785744,0.091809222,0.108190778,0.037966667,0,0
83,1,1,0.039119557,0.090471101,0.109528899,0.038166667,0,0
84,1,1,0.039464206,0.089024612,0.110975388,0.038366667,0,0
