Wall time,Step,Value
1546135585,7,46
1546135621,20,51
1546135631,26,61
1546135689,42,46
1546135693,44,46
1546135696,47,51
1546135730,55,46
1546135741,58,101
1546135787,73,66
1546135791,76,56
1546135835,97,101
1546135857,104,111
1546135896,108,76
1546135979,128,56
1546136031,141,121
1546136056,152,111
1546136076,157,111
1546136083,160,51
1546136120,169,71
1546136152,182,66
1546136165,185,56
1546136181,187,56
1546136182,188,66
1546136204,192,51
1546136227,200,66
1546136257,209,61
1546136264,214,101
1546136314,225,76
1546136329,231,56
1546136355,236,36
1546136401,251,121
1546136435,257,51
1546136447,262,56
1546136470,269,241
1546136476,273,96
1546136484,275,56
1546136570,294,76
1546136589,299,46
1546136616,305,81
1546136633,310,81
1546136641,312,76
1546136668,320,296
1546136705,332,136
1546136741,341,86
1546136764,349,176
1546136827,365,71
1546136830,369,116
1546136862,379,46
1546137102,423,56
1546137102,424,176
1546137183,441,46
1546137186,443,166
1546137195,444,101
1546137205,447,76
1546137233,453,156
1546137288,462,61
1546137303,465,211
1546137305,466,261
1546137334,476,111
1546137408,493,66
1546137415,495,66
1546137499,514,66
1546137516,516,116
1546137539,519,271
1546137615,527,66
1546137658,533,86
1546137670,535,76
1546137691,538,156
1546137725,544,81
1546137752,549,161
1546137799,559,51
1546137862,566,186
1546137891,571,101
1546137903,575,106
1546137922,581,211
1546137931,583,171
1546137939,586,71
1546137947,588,96
1546137957,589,251
1546137977,595,66
1546138042,604,356
1546138138,622,306
1546138139,624,151
1546138215,636,146
1546138259,643,141
1546138259,644,261
1546138263,646,61
1546138268,649,366
1546138273,651,166
1546138349,663,91
1546138368,666,161
1546138381,670,221
1546138390,673,76
1546138414,676,321
1546138430,680,76
1546138431,681,61
1546138450,685,111
1546138493,690,141
1546138611,716,81
1546138638,720,81
1546138652,724,126
1546138653,725,156
1546138681,732,81
1546138737,741,86
1546138786,745,61
1546138802,749,81
1546138824,754,76
1546138833,758,71
1546138864,767,141
1546138885,771,356
1546138885,772,171
1546138890,773,241
1546138896,775,81
1546138901,776,166
1546138940,782,171
1546138956,787,61
1546138973,789,116
1546138995,794,76
1546139005,795,61
1546139006,796,101
1546139031,800,86
1546139096,804,161
1546139117,809,216
1546139118,810,46
1546139119,811,256
1546139203,834,141
1546139219,838,91
1546139246,845,116
1546139409,871,131
1546139432,876,81
1546139448,878,156
1546139486,884,231
1546139543,892,61
1546139584,898,131
1546139619,902,76
1546139676,909,86
1546139683,911,271
1546139712,917,86
1546139724,919,186
1546139811,933,316
1546139825,934,381
1546139860,944,61
1546139869,947,141
1546139911,956,176
1546139938,960,56
1546139967,963,166
1546139973,964,136
1546140018,973,66
1546140034,974,216
1546140065,980,81
1546140068,981,151
1546140105,986,211
1546140166,998,231
1546140203,1004,146
1546140211,1007,131
1546140246,1016,56
1546140265,1019,121
1546140318,1027,161
1546140370,1039,46
1546140405,1046,261
1546140484,1059,161
1546140511,1065,71
1546140522,1068,71
1546140524,1070,111
1546140557,1074,166
1546140570,1078,141
1546140593,1080,166
1546140621,1085,241
1546140623,1086,56
1546140667,1095,71
1546140697,1101,56
1546140715,1105,121
1546140717,1106,146
1546140768,1116,241
1546140802,1121,216
1546140943,1135,46
1546141040,1157,186
1546141044,1158,251
1546141069,1162,191
1546141074,1163,216
1546141091,1164,61
1546141209,1182,76
1546141270,1194,91
1546141274,1195,216
1546141303,1201,351
1546141305,1203,166
1546141329,1208,106
1546141522,1234,136
1546141530,1236,96
1546141566,1246,171
1546141633,1257,116
1546141643,1260,201
1546141668,1263,51
1546141775,1283,186
1546141811,1289,131
1546141873,1296,181
1546141911,1302,366
1546142019,1312,201
1546142054,1318,166
1546142063,1321,131
1546142100,1329,66
1546142107,1332,211
1546142112,1335,91
1546142124,1338,286
1546142124,1339,211
1546142232,1357,196
1546142341,1372,96
1546142438,1387,111
1546142482,1390,191
1546142485,1391,146
1546142494,1393,201
1546142507,1394,131
1546142639,1416,411
1546142646,1421,266
1546142671,1424,101
1546142710,1428,226
1546142732,1430,191
1546142760,1434,51
1546142775,1438,271
1546142818,1442,191
1546143002,1467,56
1546143002,1468,191
1546143092,1479,216
1546143128,1487,221
1546143138,1488,171
1546143143,1491,136
1546143147,1493,216
1546143225,1503,281
1546143284,1510,121
1546143354,1526,96
1546143354,1526,206
1546143408,1529,136
1546143533,1553,451
1546143534,1554,96
